"Term","15","18","77","89","38","66","80","103","22","61","93","94","Total Occurances","TF","NI","IDF","tf*idf"
"uscbp",0,1,2,1,,,,,,,,,4,0.00430200043020004,3,1.38629436111989,0.00596383893792166
"deportationPlan",0.5,0.5,3.5,0.5,,,,,,,,,5,0.00537750053775005,4,1.09861228866811,0.00590778817309158
"2006SecureFenceAct",1,2,0,0,,,,,,,,,3,0.00322650032265003,2,1.79175946922805,0.00578111250557557
"TrumpWarnsNk",,,,,1,0,2,0,,,,,3,0.00322650032265003,2,1.79175946922805,0.00578111250557557
"landUse",0,1,0,2,,,,,,,,,3,0.00322650032265003,2,1.79175946922805,0.00578111250557557
"russiaSanctions",,,,,,,,,2,0,1,0,3,0.00322650032265003,2,1.79175946922805,0.00578111250557557
"russianSpies",,,,,,,,,,,2,1,3,0.00322650032265003,2,1.79175946922805,0.00578111250557557
"skTroops",,,,,2,1,0,0,,,,,3,0.00322650032265003,2,1.79175946922805,0.00578111250557557
"usBorderStates",1,0,2,0,,,,,,,,,3,0.00322650032265003,2,1.79175946922805,0.00578111250557557
"wallSupporters",1,2,0,0,,,,,,,,,3,0.00322650032265003,2,1.79175946922805,0.00578111250557557
"Cold War",,,,,,2,,,,,,,2,0.00215100021510002,1,2.484906649788,0.00534503473819746
"arms race",,,,,,,,,,,,2,2,0.00215100021510002,1,2.484906649788,0.00534503473819746
"britishExpulsions",,,,,,,,,0,0,2,0,2,0.00215100021510002,1,2.484906649788,0.00534503473819746
"civil liberties",,,,2,,,,,,,,,2,0.00215100021510002,1,2.484906649788,0.00534503473819746
"cyberattack",,,,,0,2,0,0,,,,,2,0.00215100021510002,1,2.484906649788,0.00534503473819746
"preventativeWarOpponents",,,,,0,2,0,0,,,,,2,0.00215100021510002,1,2.484906649788,0.00534503473819746
"reducedUsAsianInfluence",,,,,0,0,2,0,,,,,2,0.00215100021510002,1,2.484906649788,0.00534503473819746
"nkObjectives",,,,,0,0.5,1,1.5,,,,,3,0.00322650032265003,3,1.38629436111989,0.00447287920344125
"consulate",,,,,,,,,,,1,1,2,0.00215100021510002,2,1.79175946922805,0.00385407500371705
"purchasePrivateProperty",0,1,0,1,,,,,,,,,2,0.00215100021510002,2,1.79175946922805,0.00385407500371705
"tillersonVisitsSk",,,,,1,1,0,0,,,,,2,0.00215100021510002,2,1.79175946922805,0.00385407500371705
"skAllies",,,,,0,1,1,0.5,,,,,2.5,0.00268875026887503,3,1.38629436111989,0.00372739933620104
