Term,Occurrence
northKorea,11
southKorea,12
nkMilitaryPreparedness,4
nkNuclearProgram,7.0
nkObjectives,0
reducedUsAsianInfluence,0
increasedNkStatus,0
nkDenuclearization,10
diplomacy,6
nkAllies,4
skAllies,0
nkSanctions,1
usMilitaryAction,3
preventativeWarOpponents,0
cyberattack,0
skDefense,3
skTroops,2
skMissileDefense,4
tillersonWarnsNk,4
TrumpWarnsNk,1
trumpProposesSummit,1
tillersonVisitsSk,1
nkDeception,0
rexTillerson,14
china,8
usMilitary,1
usIntelligence,1
presidentObama,1
