"Term","Occurrence"
mexico,1
borderSecurity,11.3
deportationPlan,3.5
immigrationDaca,5
borderWall,14
wallLegislation,6
2006SecureFenceAct,0
wallCost,4
landUse,0
purchasePrivateProperty,0
mexicoPaysForWall,0
wallSupporters,0
wallOpponents,2
homelandSecurity,3
uscbp,2
borderSecurityLoopholes,3
usMedia,4
usBorderStates,2
