"Term","Occurrence"
mexico,4
borderSecurity,6.4
deportationPlan,.5
immigrationDaca,1
borderWall,7.7
wallLegislation,10.5
2006SecureFenceAct,2
wallCost,4
landUse,1
purchasePrivateProperty,1
mexicoPaysForWall,2
wallSupporters,2
wallOpponents,1
homelandSecurity,.5
uscbp,1
usLaw,1
usMedia,2
landowners,1
usBorderStates,0
