"Term","Occurrence"
northKorea,22
southKorea,5
nkNuclearProgram,9.8
nkMilitaryPreparedness,0
nkObjectives,1
reducedUsAsianInfluence,2
increasedNkStatus,0
nkDenuclearization,8.7
diplomacy,6.3
nkAllies,3.5
skAllies,1
nkSanctions,3
usMilitaryAction,2
preventativeWarOpponents,0
cyberattack,0
skDefense,0
skTroops,0
skMissileDefense,0
tillersonWarnsNk,1
TrumpWarnsNk,2
trumpProposesSummit,0
tillersonVisitsSk,0
nkDeception,0
littleRocketMan,11
japan,2
russia,3
china,4
rexTillerson,2
