"Term","Occurrence"
mexico,3
borderSecurity,6.2
deportationPlan,.5
immigrationDaca,2
borderWall,4.3
wallLegislation,3
2006SecureFenceAct,0
wallCost,1
landUse,2
purchasePrivateProperty,1
mexicoPaysForWall,0
wallSupporters,0
wallOpponents,1
homelandSecurity,3.5
uscbp,1
usLaw,5
"civil liberties",2
"Environmental groups",3
"landowners",3
usBorderStates,0
