"Term","Occurrence"
russia,23.9
russiaGainInfluence,7.7
russianElectionInterference,9.4
russianhacking,9.8
intelligenceAgencyInvestigation,8.5
investigationReport,5
fakeNews,1
facebook,0
collusionHoax,0
slantedMedia,0
russianSummit,0
summitTopics,0
russianRelations,3
poisoning,0
usRetaliation,1
russiaSanctions,2
expulsions,0
usExpulsions,0
alliedExpulsions,0
britishExpulsions,0
accusersOfRussianInfluence,5
usIntelligence,7
putin,9
usAllies,2
presidentObama,1

