"Term","Occurrence"
russia,14.4
russiaGainInfluence,6.8
russianElectionInterference,13.7
russianhacking,3.8
intelligenceAgencyInvestigation,3.5
investigationReport,3
fakeNews,4
facebook,4
collusionHoax,7.5
slantedMedia,3
russianSummit,0
summitTopics,0
russianRelations,0
poisoning,0
usRetaliation,0
russiaSanctions,0
expulsions,0
usExpulsions,0
alliedExpulsions,0
britishExpulsions,0
usIntelligence,1
usMedia,5
