"Term","Occurrence"
northKorea,23
southKorea,4
nkNuclearProgram,8.8
nkMilitaryPreparedness,0
nkObjectives,1.5
reducedUsAsianInfluence,0
increasedNkStatus,3
nkDenuclearization,7.9
diplomacy,5.6
nkAllies,0
skAllies,.5
nkSanctions,0
usMilitaryAction,0
preventativeWarOpponents,0
cyberattack,0
skDefense,0
skTroops,0
skMissileDefense,0
tillersonWarnsNk,0
TrumpWarnsNk,0
trumpProposesSummit,10.5
tillersonVisitsSk,0
nkDeception,5
kimJongun,13
japan,1
