"Term","Occurrence"
mexico,5
borderSecurity,5.2
deportationPlan,.5
immigrationDaca,2
borderWall,11.3
wallLegislation,6.5
2006SecureFenceAct,1
wallCost,6
landUse,0
purchasePrivateProperty,0
mexicoPaysForWall,4
wallSupporters,1
wallOpponents,3
homelandSecurity,0
uscbp,0
infrastructureImprovement,3
usBorderStates,1
