"Term","Occurrence"
russia,25.6
russiaGainInfluence,5.6
russianElectionInterference,1.5
russianhacking,1
intelligenceAgencyInvestigation,0
investigationReport,0
fakeNews,0
facebook,0
collusionHoax,0
slantedMedia,0
russianSummit,0
summitTopics,0
russianRelations,0
poisoning,7.6
usRetaliation,3.3
russiaSanctions,1
expulsions,5.5
usExpulsions,4
alliedExpulsions,5
britishExpulsions,2
russianDiplomats,4
russianSpies,2
putin,2
britain,11
usAllies,7
nerveAgent,4
usMedia,2
"consulate",1
