"Term","15","18","77","89","38","66","80","103","22","61","93","94"
"russia",,,,,,,2.6264062120617,,20.9237028227582,12.6067498178962,22.4119996762598,7.79167176244971
"northKorea",,,,,9.6301561108929,13.1320310603085,19.2603122217858,20.1357809591397,,,,0.8754687373539
"southKorea",,,,,13.1833474640173,19.775021196026,5.49306144334055,4.39444915467244,,,,
"borderWall",12.4143188619496,8.45931462274445,15.3805720413535,4.72403284127287,,,,,,,,
"nkDenuclearization",,,,,10.9861228866811,11.7551514887488,9.55792691141255,8.67903708047807,,,,
"littleRocketMan",,,,,,5.54517744447956,15.2492379723188,18.0218266945586,,,,
"nkNuclearProgram",,,,,7.69028602067677,10.1072330557466,10.7664004289475,9.66778814027937,,,,
"borderSecurity",5.71278390107417,7.0311186474759,12.4143188619496,6.81139618974228,,,,,,,,
"usMilitary",,,,,1.79175946922805,28.6681515076489,,,,,,
"russianElectionInterference",,,,,,,,,10.3269555134802,15.0509883547531,1.64791843300216,2.74653072167027
"wallLegislation",7.14097987634271,11.5354290310152,6.59167373200866,3.29583686600433,,,,,,,,
"rexTillerson",,,,,19.4081210556785,4.15888308335967,2.77258872223978,,,,,
"putin",,,,,,,,,12.476649250079,,2.77258872223978,9.70406052783923
"china",,,,,11.0903548889591,6.93147180559945,5.54517744447956,,,,,
"russiaGainInfluence",,,,,,,,,8.45931462274445,7.47056356294315,6.15222881654141,1.42819597526854
"britain",,,,,,,,,,,19.7093541615086,3.58351893845611
"diplomacy",,,,,6.59167373200866,3.62542055260476,6.92125741860909,6.15222881654141,,,,
"intelligenceAgencyInvestigation",,,,,,,,,15.2299554884385,6.27115814229819,0,0
"trumpProposesSummit",,,,,1.79175946922805,0,0,18.8134744268946,,,,
"usMilitaryAction",,,,,4.15888308335967,13.169796430639,2.77258872223978,0,,,,
"russianSummit",,,,,,,,,0,0,0,19.879253198304
"poisoning",,,,,,,,,0,0,13.6173719661332,5.91280624845258
"collusionHoax",,,,,,,,,0,18.63679987341,0,0
"russianhacking",,,,,,,,,10.7664004289475,4.17472669693882,1.09861228866811,1.09861228866811
"russianRelations",,,,,,,,,5.37527840768417,0,0,11.6464365499824
"wallCost",6.59167373200866,4.39444915467244,4.39444915467244,1.09861228866811,,,,,,,,
"usAllies",,,,,,2.77258872223978,,,2.77258872223978,,9.70406052783923,
"nuclearWeapons",,,,,,14.909439898728,,,,,,
"investigationReport",,,,,,,,,8.95879734614027,5.37527840768417,0,0
"mexico",5.49306144334055,4.39444915467244,1.09861228866811,3.29583686600433,,,,,,,,
"usMedia",,1.7509374747078,3.5018749494156,,,,,,,4.3773436867695,1.7509374747078,2.6264062120617
"nkAllies",,,,,5.54517744447956,3.46573590279973,4.85203026391962,0,,,,
"nerveAgent",,,,,,,,,,,7.16703787691222,5.37527840768417
"accusersOfRussianInfluence",,,,,,,,,12.42453324894,,,
"alliedExpulsions",,,,,,,,,0,0,12.42453324894,0
"nkDeception",,,,,0,0,0,12.42453324894,,,,
"expulsions",,,,,,,,,0,0,9.8546770807543,1.79175946922805
"tillersonWarnsNk",,,,,5.54517744447956,4.15888308335967,1.38629436111989,0,,,,
"immigrationDaca",2.19722457733622,1.09861228866811,5.49306144334055,2.19722457733622,,,,,,,,
"usIntelligence",,,,,1.09861228866811,1.09861228866811,,,7.69028602067677,1.09861228866811,,
"mexicoPaysForWall",7.16703787691222,3.58351893845611,0,0,,,,,,,,
"nkMilitaryPreparedness",,,,,7.16703787691222,3.58351893845611,0,0,,,,
"usLaw",,1.79175946922805,,8.95879734614027,,,,,,,,
"facebook",,,,,,,,,0,9.939626599152,0,0
"skMissileDefense",,,,,9.939626599152,0,0,0,,,,
"sovietUnion",,,,,,9.939626599152,,,,,,
"summitTopics",,,,,,,,,0,0,0,9.939626599152
"homelandSecurity",0,0.693147180559945,4.15888308335967,4.85203026391962,,,,,,,,
"fakeNews",,,,,,,,,1.79175946922805,7.16703787691222,0,0
"russianDiplomats",,,,,,,,,,,7.16703787691222,1.79175946922805
"usExpulsions",,,,,,,,,0,0,7.16703787691222,1.79175946922805
"nkSanctions",,,,,1.38629436111989,2.77258872223978,4.15888308335967,0,,,,
"wallOpponents",3.29583686600433,1.09861228866811,2.19722457733622,1.09861228866811,,,,,,,,
"Environmental groups",,,,7.454719949364,,,,,,,,
"borderSecurityLoopholes",,,7.454719949364,,,,,,,,,
"infrastructureImprovement",7.454719949364,,,,,,,,,,,
"slantedMedia",,,,,,,,,0,7.454719949364,0,0
"increasedNkStatus",,,,,0,1.79175946922805,0,5.37527840768417,,,,
"landowners",,1.79175946922805,,5.37527840768417,,,,,,,,
"japan",,,,,,2.77258872223978,2.77258872223978,1.38629436111989,,,,
"usRetaliation",,,,,,,,,1.38629436111989,0,4.57477139169564,0.693147180559945
"presidentObama",,,,,1.09861228866811,3.29583686600433,,,1.09861228866811,,,1.09861228866811
"skDefense",,,,,5.37527840768417,0.895879734614027,0,0,,,,
"uscbp",0,1.38629436111989,2.77258872223978,1.38629436111989,,,,,,,,
"deportationPlan",0.549306144334055,0.549306144334055,3.84514301033838,0.549306144334055,,,,,,,,
"2006SecureFenceAct",1.79175946922805,3.58351893845611,0,0,,,,,,,,
"TrumpWarnsNk",,,,,1.79175946922805,0,3.58351893845611,0,,,,
"landUse",0,1.79175946922805,0,3.58351893845611,,,,,,,,
"russiaSanctions",,,,,,,,,3.58351893845611,0,1.79175946922805,0
"russianSpies",,,,,,,,,,,3.58351893845611,1.79175946922805
"skTroops",,,,,3.58351893845611,1.79175946922805,0,0,,,,
